Netid  State       Recv-Q  Send-Q                                 Local Address:Port                                             Peer Address:Port              Process                                                                         
nl     UNCONN      0       0                                                  0:1                                                            *                   sk=0 cb=0 groups=0x800405d5                                                    
nl     UNCONN      0       0                                                  0:886                                                          *                   sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN      0       0                                                  0:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  0:886                                                          *                   sk=0 cb=0 groups=0x00000111                                                    
nl     UNCONN      0       0                                                  0:1                                                            *                   sk=0 cb=0 groups=0x800405d5                                                    
nl     UNCONN      768     0                                                  4:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      4352    0                                                  4:22045                                                        *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  7:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  9:21928                                                        *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  9:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  9:1                                                            *                   sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN      0       0                                                  9:-1496592078                                                  *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                  9:1                                                            *                   sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN      0       0                                                 10:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                 11:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                 15:0                                                            *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                 15:622                                                          *                   sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN      0       0                                                 15:-20992405                                                    *                   sk=0 cb=0 groups=0x00000001                                                    
nl     UNCONN      0       0                                                 15:884                                                          *                   sk=0 cb=0 groups=0x00000002                                                    
nl     UNCONN      0       0                                                 15:510                                                          *                   sk=0 cb=0 groups=0x00000000                                                    
nl     UNCONN      0       0                                                 15:982                                                          *                   sk=0 cb=0 groups=0x00000002                                                    
