MemTotal:        2018404 kB
MemFree:           77816 kB
MemAvailable:    1223808 kB
Buffers:           75708 kB
Cached:          1156320 kB
SwapCached:            0 kB
Active:          1073568 kB
Inactive:         633408 kB
Active(anon):     475156 kB
Inactive(anon):      232 kB
Active(file):     598412 kB
Inactive(file):   633176 kB
Unevictable:       18828 kB
Mlocked:           18828 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              6168 kB
Writeback:             0 kB
AnonPages:        493788 kB
Mapped:           129796 kB
Shmem:              3732 kB
KReclaimable:      91492 kB
Slab:             161648 kB
SReclaimable:      91492 kB
SUnreclaim:        70156 kB
KernelStack:        5000 kB
PageTables:         4752 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3106348 kB
Committed_AS:    1472508 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       17816 kB
VmallocChunk:          0 kB
Percpu:             1664 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      139136 kB
DirectMap2M:     1957888 kB
DirectMap1G:           0 kB
